filename,set_id,sha256,bytes,resolution,fps,codec,duration_s,url,key,note
20260615-ROW-3.mov,20260615-ROW-3,b170178ee6dbed838c1185c04cea216ef06a6400a4192d42db5a1f7502506310,91028087,3840x2160,23.94,h264,19.7,,20260615-ROW-3.mov,Barbell Row 2026-06-15 (Vitruve GT + watch IMU + SmartBarbell); pending probe+CV
20260615-ROW-4.mov,20260615-ROW-4,4786168cd4fb66ca00e4505a10d08eb0f0eeaddb3b2b5ec9691b30d416f316ad,57310851,1920x1080,58.93,h264,18.7,,20260615-ROW-4.mov,Barbell Row 2026-06-15 (Vitruve GT + watch IMU + SmartBarbell); pending probe+CV
20260615-ROW-5.mov,20260615-ROW-5,a06ae454b3c608d5c1f5bb11a53bbab326d3e5874341bac8cca31ec49e110275,58912326,1920x1080,58.64,h264,19.2,,20260615-ROW-5.mov,Barbell Row 2026-06-15 (Vitruve GT + watch IMU + SmartBarbell); pending probe+CV
20260616-BN_1.mov,20260616-BN-1,1cb8a9d3f1356613d806a2c15d87cb0027d09e399162e3d9ee9a44047609bae9,93280742,1920x1080,59.37,h264,30.7,,20260616-BN_1.mov,"Bench Press 2026-06-16 set 1 (225lb x10). Vitruve GT + Apple Watch IMU. 1080p60 h264, iPhone display rotation=-90 (portrait; PyAVDecoder auto-uprights to 1080x1920, like the DL-1..5 clips). AUTO zero-tap CV reps_cv 10 (EXACT) vs GT 10; velocity unreliable (dark-iron flow profile noise, end-ish view) - count only."
20260616-BN_2.mov,20260616-BN-2,c6a256427923fa7137142a2aed97d0ec6cd3594142949d4733b21dee15173b2e,82709945,1920x1080,59.71,h264,27.4,,20260616-BN_2.mov,"Bench Press 2026-06-16 set 2 (205lb x10). Vitruve GT + Apple Watch IMU. 1080p60 h264, iPhone display rotation=-90 (portrait; PyAVDecoder auto-uprights to 1080x1920, like the DL-1..5 clips). AUTO zero-tap CV reps_cv 10 (EXACT) vs GT 10; velocity unreliable (dark-iron flow profile noise, end-ish view) - count only."
20260616-BN_3.mov,20260616-BN-3,affb98f06eb555acd411794ab010784370e2107f928dfeda780aa8a8210c112d,81869682,1920x1080,58.97,h264,26.8,,20260616-BN_3.mov,"Bench Press 2026-06-16 set 3 (205lb x10). Vitruve GT + Apple Watch IMU. 1080p60 h264, iPhone display rotation=-90 (portrait; PyAVDecoder auto-uprights to 1080x1920, like the DL-1..5 clips). AUTO zero-tap CV reps_cv 10 (EXACT) vs GT 10; velocity unreliable (dark-iron flow profile noise, end-ish view) - count only."
20260616-BN_4.mov,20260616-BN-4,c10fbf79a46119b173db30737f1f0eeeb6734830646e9fdd59c8eed24f0c14e5,91347173,1920x1080,59.23,h264,30.1,,20260616-BN_4.mov,"Bench Press 2026-06-16 set 4 (205lb x10). Vitruve GT + Apple Watch IMU. 1080p60 h264, iPhone display rotation=-90 (portrait; PyAVDecoder auto-uprights to 1080x1920, like the DL-1..5 clips). AUTO zero-tap CV reps_cv 11 (+1 put-down) vs GT 10; velocity unreliable (dark-iron flow profile noise, end-ish view) - count only."
20260616-BN_5.mov,20260616-BN-5,9f02a606130c855611b8bdede4d40cdaee25e1fd64382d749e5dccdc38d9def7,100357796,1920x1080,59.72,h264,33.4,,20260616-BN_5.mov,"Bench Press 2026-06-16 set 5 (205lb x10). Vitruve GT + Apple Watch IMU. 1080p60 h264, iPhone display rotation=-90 (portrait; PyAVDecoder auto-uprights to 1080x1920, like the DL-1..5 clips). AUTO zero-tap CV reps_cv 11 (+1 put-down) vs GT 10; velocity unreliable (dark-iron flow profile noise, end-ish view) - count only."
20260617-RDL-1.mov,20260617-RDL-1,ea56a5baec790d178221ac5c00a58a1a59e147320c7cc52bc843fe0fd01660c9,91372879,1920x1080,59.2,h264,30.1,,20260617-RDL-1.mov,"RDL 2026-06-17, 1920x1080 59.2fps h264. Vitruve GT + Apple Watch IMU (dataset/raw/20260617-RDL-1_watch.csv). 3/4 inputs (no SmartBarbell). CV auto count -> see clips.csv."
20260617-RDL-2.mov,20260617-RDL-2,132658db464704b57f8e353f46830a2b757acd42c9b9dfdb592a2386928b1986,89135246,1920x1080,59.43,h264,29.6,,20260617-RDL-2.mov,"RDL 2026-06-17, 1920x1080 59.43fps h264. Vitruve GT + Apple Watch IMU (dataset/raw/20260617-RDL-2_watch.csv). 3/4 inputs (no SmartBarbell). CV auto count -> see clips.csv."
20260617-SQ-1.mov,20260617-SQ-1,95a3a699ac3b7041b771740e22a4e5800f09958553f0703c8368f141aecbe05a,163391532,1920x1080,59.53,h264,54.2,,20260617-SQ-1.mov,"squat 2026-06-17, 1920x1080 59.53fps h264. Vitruve GT + Apple Watch IMU (dataset/raw/20260617-SQ-1_watch.csv). 3/4 inputs (no SmartBarbell). CV auto count -> see clips.csv."
20260617-SQ-2.mov,20260617-SQ-2,37ccbb98216c5211e7765c32f77051f6b87ec0edeae9cbfc3e35c8254a796233,134025776,1920x1080,59.63,h264,44.5,,20260617-SQ-2.mov,"squat 2026-06-17, 1920x1080 59.63fps h264. Vitruve GT + Apple Watch IMU (dataset/raw/20260617-SQ-2_watch.csv). 3/4 inputs (no SmartBarbell). CV auto count -> see clips.csv."
20260617-SQ-3.mov,20260617-SQ-3,68b4701f49ba5de91099e44e3662fc62a80025697de8657af393088583e9a828,144859382,1920x1080,59.41,h264,47.9,,20260617-SQ-3.mov,"squat 2026-06-17, 1920x1080 59.41fps h264. Vitruve GT + Apple Watch IMU (dataset/raw/20260617-SQ-3_watch.csv). 3/4 inputs (no SmartBarbell). CV auto count -> see clips.csv."
20260617-SQ-4.mov,20260617-SQ-4,b82a32928ab40841c76fb38775260a27c48ca27381bf12154c0b3407ec6a2596,131434313,1920x1080,59.9,h264,43.9,,20260617-SQ-4.mov,"squat 2026-06-17, 1920x1080 59.9fps h264. Vitruve GT + Apple Watch IMU (dataset/raw/20260617-SQ-4_watch.csv). 3/4 inputs (no SmartBarbell). CV auto count -> see clips.csv."
